siteowner, landfill_transferstation, rwmg, sitename, ogc_fid, localgovernmentarea, longitude, latitude, statusofsite, postcode, acceptsputrescible, siteaddress, town_suburb
"Campaspe Shire Council                                                                                                                                                                                                                                         ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Toolleen Transfer Station & Resource Recovery                                                                                                                                                                                                                  ",148,"Campaspe (S)                                                                                                                                                                                                                                                   ",144.713188,-36.709176,"Existing                                                                                                                                                                                                                                                       ","3551                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Cornella Toolleen Rd                                                                                                                                                                                                                                          ","Toolleen                                                                                                                                                                                                                                                       "
"Greater Shepparton City Council                                                                                                                                                                                                                                ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Ardmona Transfer Station                                                                                                                                                                                                                                       ",149,"Greater Shepparton (C)                                                                                                                                                                                                                                         ",145.291898,-36.375017,"Existing                                                                                                                                                                                                                                                       ","3629                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Cnr Midland Hwy & Turnbull Rd                                                                                                                                                                                                                                 ","Ardmona                                                                                                                                                                                                                                                        "
"Greater Shepparton City Council                                                                                                                                                                                                                                ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Murchison Transfer Station                                                                                                                                                                                                                                     ",150,"Greater Shepparton (C)                                                                                                                                                                                                                                         ",145.1918528,-36.62251667,"Existing                                                                                                                                                                                                                                                       ","3610                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Cnr Old Whroo Rd & Cassidy Rd                                                                                                                                                                                                                                 ","Murchison                                                                                                                                                                                                                                                      "
"Mitchell Shire Council                                                                                                                                                                                                                                         ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Broadford Transfer Station (formerly landfill - CL67882?)                                                                                                                                                                                                      ",152,"Mitchell (S)                                                                                                                                                                                                                                                   ",145.07776,-37.229693,"Existing                                                                                                                                                                                                                                                       ","3658                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Off Mia Mia Rd                                                                                                                                                                                                                                                ","Broadford                                                                                                                                                                                                                                                      "
"Mitchell Shire Council                                                                                                                                                                                                                                         ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Pyalong Transfer Station                                                                                                                                                                                                                                       ",153,"Mitchell (S)                                                                                                                                                                                                                                                   ",144.864726,-37.114126,"Existing                                                                                                                                                                                                                                                       ","3521                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Ladderhill Rd                                                                                                                                                                                                                                                 ","Pyalong                                                                                                                                                                                                                                                        "
"Mitchell Shire Council                                                                                                                                                                                                                                         ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Seymour Resource Recovery Facility (at landfill site)                                                                                                                                                                                                          ",154,"Mitche+E10ll (S)                                                                                                                                                                                                                                               ",145.1521,-37.05231111,"Existing                                                                                                                                                                                                                                                       ","3660                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Cnr Hume & Hovell Rd                                                                                                                                                                                                                                          ","Seymour                                                                                                                                                                                                                                                        "
"Mitchell Shire Council                                                                                                                                                                                                                                         ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Tallarook Transfer Station                                                                                                                                                                                                                                     ",155,"Mitchell (S)                                                                                                                                                                                                                                                   ",145.073061,-37.09555,"Existing                                                                                                                                                                                                                                                       ","3659                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Pyalong-Tallarook Rd                                                                                                                                                                                                                                          ","Tallarook                                                                                                                                                                                                                                                      "
"Moira Shire Council                                                                                                                                                                                                                                            ","landfill                                                                                                                                                                                                                                                       ","Resource GV                                                                                                                                                                                                                                                    ","Cobram Landfill - ES69514                                                                                                                                                                                                                                      ",156,"Moira (S)                                                                                                                                                                                                                                                      ",147.377359,-37.079584,"Existing                                                                                                                                                                                                                                                       ","3643                                                                                                                                                                                                                                                           ",null," Pye Rd (North Of Murray Valley Hwy)                                                                                                                                                                                                                           ","Cobram                                                                                                                                                                                                                                                         "
"Moira Shire Council                                                                                                                                                                                                                                            ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Barmah Transfer Station                                                                                                                                                                                                                                        ",157,"Moira (S)                                                                                                                                                                                                                                                      ",144.9627667,-36.00623056,"Existing                                                                                                                                                                                                                                                       ","3639                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Cnr Moira Lakes Rd & Racecourse Rd                                                                                                                                                                                                                            ","Barmah                                                                                                                                                                                                                                                         "
"Moira Shire Council                                                                                                                                                                                                                                            ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Nathalia Transfer Station                                                                                                                                                                                                                                      ",158,"Moira (S)                                                                                                                                                                                                                                                      ",145.187315,-36.083251,"Existing                                                                                                                                                                                                                                                       ","3638                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Shepparton-Barmah Rd & Balls Rd                                                                                                                                                                                                                               ","Nathalia                                                                                                                                                                                                                                                       "
"Moira Shire Council                                                                                                                                                                                                                                            ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Numurkah Transfer Station                                                                                                                                                                                                                                      ",159,"Moira (S)                                                                                                                                                                                                                                                      ",145.494851,-36.069912,"Existing                                                                                                                                                                                                                                                       ","3636                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Naring Rd (Btwn Hendys Rd & Lorenzs Rd)                                                                                                                                                                                                                       ","Numurkah                                                                                                                                                                                                                                                       "
"Moira Shire Council                                                                                                                                                                                                                                            ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","St James Transfer Station                                                                                                                                                                                                                                      ",160,"Moira (S)                                                                                                                                                                                                                                                      ",145.877536,-36.27822,"Existing                                                                                                                                                                                                                                                       ","3727                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Kelly's Rd South Of St James Rd                                                                                                                                                                                                                               ","St James                                                                                                                                                                                                                                                       "
"Moira Shire Council                                                                                                                                                                                                                                            ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Strathmerton Transfer Station                                                                                                                                                                                                                                  ",161,"Moira (S)                                                                                                                                                                                                                                                      ",145.525361,-35.923599,"Existing                                                                                                                                                                                                                                                       ","3641                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Murray Valley Hwy (Btwn Ruttles Rd & Stokes Rd)                                                                                                                                                                                                               ","Strathmerton                                                                                                                                                                                                                                                   "
"Moira Shire Council                                                                                                                                                                                                                                            ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Tungamah Transfer Station                                                                                                                                                                                                                                      ",162,"Moira (S)                                                                                                                                                                                                                                                      ",145.878708,-36.140831,"Existing                                                                                                                                                                                                                                                       ","3728                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Tungamah Rd (Btwn Chinamans Lane & Cemetery Rd)                                                                                                                                                                                                               ","Tungamah                                                                                                                                                                                                                                                       "
"Moira Shire Council                                                                                                                                                                                                                                            ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Yabba Transfer Station                                                                                                                                                                                                                                         ",163,"Moira (S)                                                                                                                                                                                                                                                      ",145.649974,-36.240343,"Existing                                                                                                                                                                                                                                                       ","3646                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Yabba South Rd (Btwn Katandra Rd & Jeffrey's Rd)                                                                                                                                                                                                              ","Yabba                                                                                                                                                                                                                                                          "
"Moira Shire Council                                                                                                                                                                                                                                            ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Yarrawonga Transfer Station                                                                                                                                                                                                                                    ",164,"Moira (S)                                                                                                                                                                                                                                                      ",146.001875,-36.04070278,"Existing                                                                                                                                                                                                                                                       ","3730                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Channel Rd                                                                                                                                                                                                                                                    ","Yarrawonga                                                                                                                                                                                                                                                     "
"Murrindindi Shire Council                                                                                                                                                                                                                                      ","Landfill                                                                                                                                                                                                                                                       ","Resource GV                                                                                                                                                                                                                                                    ","Alexandra landfill - ES31673                                                                                                                                                                                                                                   ",165,"Murrindindi (S)                                                                                                                                                                                                                                                ",145.7210944,-37.20919444,"Existing                                                                                                                                                                                                                                                       ","3714                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Mt Pleasant Rd                                                                                                                                                                                                                                                ","Alexandra                                                                                                                                                                                                                                                      "
"Murrindindi Shire Council                                                                                                                                                                                                                                      ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Eildon Transfer Station                                                                                                                                                                                                                                        ",166,"Murrindindi (S)                                                                                                                                                                                                                                                ",145.923212,-37.236827,"Existing                                                                                                                                                                                                                                                       ","3713                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Jerusalem Creek Rd (Might Be Just Jerusalem Rd)                                                                                                                                                                                                               ","Eildon                                                                                                                                                                                                                                                         "
